Date,Open,High,Low,Close,Adj Close,Volume
"Aug 01, 2021",332.29,347.42,329.34,333.48,333.48,"1,788,390,755"
"Jul 31, 2021",322.54,338.03,317.69,333.55,333.55,"1,717,984,015"
"Jul 30, 2021",317.06,325.25,307.01,322.91,322.91,"1,588,918,308"
"Jul 29, 2021",313.62,319.76,309.14,316.75,316.75,"1,384,576,144"
"Jul 28, 2021",314.06,318.44,308.22,313.43,313.43,"1,626,648,048"
"Jul 27, 2021",304.12,318.37,298.48,313.60,313.60,"1,870,220,991"
"Jul 26, 2021",302.73,327.64,301.10,304.48,304.48,"2,572,081,528"
"Jul 25, 2021",301.85,304.06,292.89,302.44,302.44,"1,351,522,797"
"Jul 24, 2021",299.05,307.84,296.11,302.07,302.07,"1,644,709,273"
"Jul 23, 2021",293.60,300.99,281.70,299.28,299.28,"1,849,700,307"
"Jul 22, 2021",293.14,298.40,287.73,293.64,293.64,"1,495,118,544"
"Jul 21, 2021",264.49,298.79,261.23,292.53,292.53,"1,957,623,339"
"Jul 20, 2021",280.56,283.21,255.85,264.78,264.78,"1,819,454,491"
"Jul 19, 2021",302.27,303.83,279.71,280.02,280.02,"1,514,754,521"
"Jul 18, 2021",300.60,309.11,299.97,302.48,302.48,"1,254,819,647"
"Jul 17, 2021",302.93,306.53,295.39,300.50,300.50,"1,298,507,379"
"Jul 16, 2021",315.69,323.00,301.93,302.99,302.99,"1,688,212,208"
"Jul 15, 2021",309.50,323.89,301.66,315.24,315.24,"2,242,114,046"
"Jul 14, 2021",308.95,313.22,290.66,309.41,309.41,"1,646,743,038"
"Jul 13, 2021",316.27,318.30,305.49,308.81,308.81,"1,231,759,805"
"Jul 12, 2021",322.03,334.28,309.14,316.33,316.33,"1,614,469,810"
"Jul 11, 2021",316.06,326.75,312.64,322.03,322.03,"1,189,805,384"
"Jul 10, 2021",317.00,320.94,310.89,316.14,316.14,"1,179,686,219"
"Jul 09, 2021",310.01,319.44,301.83,316.48,316.48,"1,358,583,891"
"Jul 08, 2021",327.96,327.96,305.08,310.43,310.43,"1,883,785,090"
"Jul 07, 2021",320.19,339.17,318.53,327.52,327.52,"2,067,233,169"
"Jul 06, 2021",302.20,321.52,302.20,320.93,320.93,"2,203,265,498"
"Jul 05, 2021",307.68,307.68,293.52,302.38,302.38,"1,504,869,977"
"Jul 04, 2021",298.11,314.71,292.79,307.73,307.73,"1,387,395,766"
"Jul 03, 2021",287.22,302.61,283.43,298.24,298.24,"1,113,777,297"
"Jul 02, 2021",287.75,290.62,277.35,287.42,287.42,"1,133,632,645"
"Jul 01, 2021",303.53,303.53,281.58,288.22,288.22,"1,357,794,786"
